Timestamp,Ch0_Alpha,Ch0_Beta,Ch0_Gamma,Ch1_Alpha,Ch1_Beta,Ch1_Gamma,Ch2_Alpha,Ch2_Beta,Ch2_Gamma,Ch3_Alpha,Ch3_Beta,Ch3_Gamma
1733461981.669001,9998.0546875,40010.15625,29994.57421875,10090.09375,40061.046875,30027.80859375,10002.9296875,40007.421875,30000.75,10002.6015625,39999.578125,30009.6796875
1733461981.6934958,9977.3125,39998.84375,29995.78125,9908.5234375,40029.625,,,,,,,
1733461981.7045007,,,,,,30030.9609375,9994.75,39994.078125,30003.609375,9985.8203125,40004.484375,29997.69140625
1733461981.7267134,10033.28125,39974.0625,30005.61328125,10088.828125,39918.984375,30026.16796875,10002.6015625,40004.484375,29994.0703125,10013.0546875,39984.125,30001.34765625
1733461981.7632394,9978.1796875,40021.875,30002.33203125,9976.9609375,40068.265625,29964.33984375,9999.0859375,39996.59375,29997.5625,9993.15625,40008.09375,29997.99609375
1733461981.7964702,9998.921875,39989.734375,29991.41015625,10145.9921875,39939.484375,29960.625,10007.21875,40001.265625,29998.5234375,10005.15625,39996.078125,29993.33203125
1733461981.8208354,10007.1484375,39994.890625,30000.1171875,9927.0390625,40013.5,29977.7578125,9995.6640625,39995.0,29999.47265625,9997.46875,39994.875,
1733461981.832346,,,,,,,,,,,,30002.37890625
1733461981.8573673,9988.3515625,40015.484375,29996.6484375,9925.5859375,40039.953125,30001.40625,9977.0546875,40016.75,29996.49609375,9989.78125,40007.65625,29998.74609375
1733461981.8806145,10006.09375,39982.328125,30001.98046875,9940.8671875,39964.5625,30067.5703125,10011.9296875,39974.8125,30007.04296875,9995.921875,39997.46875,29998.6640625
1733461981.9162176,9995.640625,40009.203125,30002.70703125,10083.4609375,39980.078125,30046.79296875,10002.8359375,40010.796875,30002.35546875,10007.03125,39995.921875,30001.921875
1733461981.9422066,9992.9921875,40000.015625,29998.21875,9942.6015625,40042.578125,29966.47265625,9991.421875,39998.046875,29995.265625,9992.546875,40009.4375,29992.06640625
1733461981.9792778,9981.90625,39996.328125,29997.24609375,9937.2578125,39987.890625,29944.76953125,9988.0,40000.125,30000.46875,9999.015625,39995.109375,30006.29296875
1733461982.0017292,10011.8359375,39990.171875,29997.9375,10196.7109375,40017.015625,29951.77734375,10015.1875,39990.140625,29991.796875,10005.953125,40003.140625,29988.421875
1733461982.0347495,10026.953125,40004.15625,30008.71875,9931.84375,39944.953125,30025.7578125,10001.640625,39998.71875,29998.60546875,10001.40625,39992.90625,30001.01953125
1733461982.0676508,9995.875,40006.140625,29989.79296875,9971.0078125,40109.109375,30028.8984375,9996.6015625,40013.0625,30007.4296875,9993.8828125,40005.609375,30005.578125
1733461982.1007168,9969.4140625,39997.71875,30003.1171875,10133.96875,39836.1875,30043.6640625,10000.375,39986.765625,30002.53125,9994.7734375,39990.984375,29998.828125
1733461982.1237328,10002.5078125,39989.703125,29998.34765625,9764.40625,40147.546875,30006.10546875,9985.1171875,40009.6875,,,,
1733461982.1352396,,,,,,,,,29999.6484375,9997.2578125,39998.015625,29994.83203125
1733461982.1578915,10004.5234375,40004.78125,29995.62890625,10238.640625,39865.203125,29975.8359375,10013.2890625,39986.109375,29997.85546875,,,
1733461982.169395,,,,,,,,,,10009.8671875,40000.234375,30000.57421875
1733461982.190911,9989.078125,39995.75,29999.15625,9867.5078125,40088.453125,29937.08203125,9993.859375,40007.84375,29990.80078125,9988.0703125,40000.734375,29999.484375
1733461982.2231061,10003.0703125,39998.640625,30008.671875,9826.8203125,40029.953125,29987.49609375,9986.7578125,40001.921875,29999.49609375,9989.4296875,40001.65625,29999.37890625
1733461982.2571254,10017.7421875,39998.609375,29999.16796875,10200.4375,39878.109375,30043.01953125,10008.34375,39986.796875,30008.859375,10010.3828125,39991.703125,29996.40234375
1733461982.2800446,10015.609375,40002.515625,29990.73046875,10131.859375,40066.609375,30045.64453125,,,,,,
1733461982.293049,,,,,,,10012.84375,40002.546875,29999.8125,10011.0859375,39998.65625,30011.30859375
1733461982.319223,9952.8203125,40010.828125,29997.50390625,9745.46875,40051.34375,29996.61328125,9976.421875,40003.15625,29999.47265625,9977.1953125,39999.578125,30000.421875
1733461982.3412657,9993.4375,39985.1875,30003.78515625,9885.859375,39921.78125,,,,,,,
1733461982.3547776,,,,,,29987.4609375,9997.09375,39992.03125,29993.19140625,9997.5625,39996.453125,29994.7265625
1733461982.3767889,10013.40625,39998.84375,29995.53515625,10224.1796875,39994.5625,29948.05078125,10017.0390625,40006.625,29992.8984375,10016.359375,40004.015625,29995.7578125
1733461982.3978748,10006.7265625,39993.90625,30006.375,9928.8671875,40074.03125,29977.875,9988.2109375,40001.53125,,,,
1733461982.4092638,,,,,,,,,30003.66796875,9992.40625,40006.578125,29989.13671875
1733461982.4318142,10015.984375,40005.171875,29993.5546875,10124.875,39978.078125,30001.921875,10001.5,39998.421875,29996.7890625,9997.0234375,39999.65625,30000.24609375
1733461982.4643734,9985.4453125,39996.65625,30001.9921875,10084.375,39896.125,30058.3125,10003.515625,39982.625,30005.3671875,10005.6015625,39981.125,30004.453125
1733461982.5016336,9965.171875,40001.875,29998.2890625,9623.21875,40116.890625,30035.33203125,9976.1171875,40008.125,30004.95703125,9973.0,40008.875,30008.015625
1733461982.5243254,10013.3125,39995.671875,30003.73828125,9898.046875,40022.390625,29981.82421875,9986.3125,40009.375,29996.9296875,9992.7109375,40003.15625,29999.109375
1733461982.5559523,10014.859375,39997.65625,29996.1328125,10291.796875,39839.328125,29963.98828125,10025.359375,39986.140625,29990.77734375,10017.203125,39997.171875,29997.57421875
1733461982.5887346,9985.4453125,40005.4375,29997.69140625,10174.046875,40130.359375,29974.60546875,10017.7890625,40009.546875,29997.22265625,10015.328125,39994.265625,29992.2890625
1733461982.613581,10007.453125,40002.234375,29997.8203125,,,,,,,,,
1733461982.6252306,,,,10260.25,39992.859375,29967.09375,10006.2578125,40005.984375,30003.9140625,10015.3515625,40001.25,30000.92578125
1733461982.6487653,10022.125,39989.109375,30004.51171875,9955.8203125,39891.984375,30052.48828125,10000.1875,39982.59375,30002.6484375,10000.2109375,,
1733461982.659755,,,,,,,,,,,39993.65625,30003.3515625
1733461982.6837897,9978.765625,40009.390625,29998.078125,9297.109375,40142.40625,30044.953125,9954.5546875,40010.25,29999.25,9954.3671875,40005.25,30003.6796875
1733461982.705917,9972.296875,39998.6875,30001.20703125,,,,,,,,,
1733461982.7172887,,,,9636.3203125,39968.5,29986.1953125,9963.2734375,40000.75,29999.5546875,9960.4609375,40013.484375,29995.53515625
1733461982.7447488,10021.4453125,39994.234375,29988.984375,10680.390625,39957.484375,29988.43359375,10049.9453125,39989.15625,29992.27734375,10045.4921875,39982.765625,30001.04296875
1733461982.766767,10002.0625,40002.625,30003.36328125,10525.5625,39892.671875,,,,,,,
1733461982.7792826,,,,,,29962.40625,10032.6015625,39991.75,30005.34375,10042.8203125,39985.4375,29997.64453125
1733461982.8012948,10007.9921875,39993.421875,30003.1875,9428.1484375,40203.125,29980.23046875,9961.515625,40014.578125,29993.3671875,9951.8828125,40021.1875,29994.24609375
